Title,Genre,Runtime,IMDB Score,Language,Release month,Release Day,Release Year
Chadwick Boseman: Portrait of an Artist,Documentary,21,6.5,English,April,17,2021
Chopsticks,Comedy,100,6.5,Hindi,May,31,2019
Da 5 Bloods,War drama,155,6.5,English,June,12,2020
Dolly Parton: A MusiCares Tribute,Documentary,55,6.5,English,April,7,2021
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,123,6.5,English,June,26,2020
Gerald's Game,Horror thriller,103,6.5,English,September,29,2017
His House,Thriller,93,6.5,English,October,30,2020
Jingle Jangle: A Christmas Journey,Family/Christmas musical,119,6.5,English,November,13,2020
Life Overtakes Me,Documentary,40,6.5,English/Swedish,June,14,2019
Lust Stories,Drama,120,6.5,Hindi,June,15,2018
Monster,Drama,98,6.5,English,May,7,2021
Mowgli: Legend of the Jungle,Adventure,104,6.5,English,December,7,2018
Nobody Knows I'm Here,Drama,91,6.5,Spanish,June,24,2020
Nobody Speak: Trials of the Free Press,Documentary,95,6.5,English,June,23,2017
Oxygen,Science fiction thriller,101,6.5,French,May,12,2021
Set It Up,Romantic comedy,105,6.5,English,June,15,2018
The Incredible Jessica James,Comedy,83,6.5,English,July,28,2017
Tigertail,Drama,91,6.5,English/Taiwanese/Mandarin,April,10,2020
Tramps,Romance,83,6.5,English,April,21,2017
What Did Jack Do?,Drama / Short,17,6.5,English,January,20,2020
Bad Trip,Hidden-camera prank comedy,86,6.6,English,March,26,2021
Bird Box,Psychological thriller,124,6.6,English,December,21,2018
Bulbbul,Horror,94,6.6,Hindi,June,24,2020
Crazy About Her,Romantic comedy,102,6.6,Spanish,February,26,2021
Elisa & Marcela,Romance,118,6.6,Spanish,June,7,2019
I'll Sleep When I'm Dead,Documentary,79,6.6,English,August,19,2016
I'm Thinking of Ending Things,Psychological thriller,134,6.6,English,September,4,2020
It Takes a Lunatic,Documentary,126,6.6,English,October,25,2019
Milestone,Drama,98,6.6,Hindi,May,7,2021
Recovery Boys,Documentary,89,6.6,English,June,29,2018
ReMastered: Who Killed Jam Master Jay?,Documentary,58,6.6,English,December,7,2018
